read,name,link
N,BBC micro:bit MicroPython documentation,http://microbit-micropython.readthedocs.org/en/latest/
Y,Rubus cockburnianus,https://en.m.wikipedia.org/wiki/Rubus_cockburnianus
Y,Decoding JSON with Python and storing nested object,http://stackoverflow.com/questions/12966308/decoding-json-with-python-and-storing-nested-object
Y,How to parse JSON string in Python,http://xmodulo.com/how-to-parse-json-string-in-python.html
N,WD PiDrive,http://wdlabs.wd.com/products/wd-pidrive-314gb/
Y,WD PiDrive,http://gizmodo.com/this-30-300gb-hard-drive-was-designed-espeically-for-1764957167
N,3to2 - Convert Python 3 applications to Python 2,https://wiki.python.org/moin/3to2
Y,Pushover API stuff,https://pushover.net/faq#library
Y,Making a request with Python Requests,http://docs.python-requests.org/en/master/user/quickstart/
Y,Simple URL GET/POST function in Python,http://stackoverflow.com/questions/4476373/simple-url-get-post-function-in-python
Y,Run curl from Python script,https://www.raspberrypi.org/forums/viewtopic.php?f=32&t=112351
Y,Learn Python,http://www.learnpython.org/
Y,The Hitchhiker’s Guide to Python,http://docs.python-guide.org
Y,Config files for scripts,http://wiki.bash-hackers.org/howto/conffile
Y,Parsing json with Unix tools,http://stackoverflow.com/questions/1955505/parsing-json-with-unix-tools
Y,Git hooks example,http://ryanflorence.com/deploying-websites-with-a-tiny-git-hook/
Y,Unison file sync - server-client - via @height8,https://www.cis.upenn.edu/~bcpierce/unison/index.html
Y,Raspberry Pi backups,https://www.raspberrypi.org/documentation/linux/filesystem/backup.md
Y,Git credential helper,https://git-scm.com/book/en/v2/Git-Tools-Credential-Storage
Y,lftp.yar.ru,http://lftp.yar.ru/
Y,How To Use Rsync to Sync Local and Remote Directories on a VPS,https://www.digitalocean.com/community/tutorials/how-to-use-rsync-to-sync-local-and-remote-directories-on-a-vps
Y,Shebang (Unix),https://en.m.wikipedia.org/wiki/Shebang_(Unix)
Y,Apache web server on a Raspberry Pi,https://www.raspberrypi.org/documentation/remote-access/web-server/apache.md
Y,Password protected pages with Jekyll,https://flohei.de/blog/password-protected-pages-with-jekyll
Y,ADN conversation and thread re. self-hosted blog & protected journal - @jnm,https://posts.app.net/67676679
Y,Git reference,http://gitref.org/
Y,Filezilla FTP command line,https://wiki.filezilla-project.org/Command-line_arguments_(Client)
Y,GitHub Git command line tutorial (starting with Set Up Git!),https://help.github.com/articles/set-up-git/
Y,Raspberry Pi DDNS (defunct!),http://ip.raspctl.com/
Y,Latest Ubuntu phone,http://www.engadget.com/2016/02/17/meizu-pro-5-ubuntu-edition/
Y,Ruby enVironment (Version) Manager basics,https://rvm.io/rvm/basics
Y,Gogs - Go Git Service - thanks @mlv,https://gogs.io/
Y,Run Jekyll on Windows,http://jekyll-windows.juthilo.com
Y,Gitlab EE pages-jekyll repo example,https://gitlab.com/gitlab-examples/pages-jekyll
Y,Kiwi - for addition to the ADN Wiki - ask @33mhz for details,https://posts.app.net/67482459
Y,Installing Linux on a Chromebook,https://www.linux.com/learn/tutorials/795730-how-to-easily-install-ubuntu-on-chromebook-with-crouton
Y,Twtxt - Decentralised minimalist microblogging service for hackers - via @adiabatic,https://github.com/buckket/twtxt
Y,How to use Windows 10 File History backup feature,http://www.pcworld.com/article/2974385/windows/how-to-use-windows-10s-file-history-backup-feature.html
Y,Arq backup service,https://www.arqbackup.com/features/wiki
Y,GitHub Pages Jekyll 3.0,https://github.com/blog/2100-github-pages-now-faster-and-simpler-with-jekyll-3-0
Y,CrashPlan backup service,https://www.code42.com/crashplan/
Y,GitHub service status page,https://status.github.com/messages
Y,Tips for CAD managers when communicating with IT,http://cadmanager.autodesk.co.uk/project-execution/tips-cad-managers-communicating/
Y,built.io support for ADN - @flashblu,https://posts.app.net/67307386
Y,Thermodynamics Rules - by @jeremycherfas,http://www.jeremycherfas.net/blog/thermodynamics-rules
Y,Book recommendation by @ukhaiku - re. my Mortality blog post,https://www.waterstones.com/book/buddha-da/anne-donovan/9781847673459
Y,Community codes-of-conduct - brief conversation started by @feorlen,https://posts.app.net/67264281
Y,ADN Minecraft server map - by @33mhz (see @s3rv),https://s3rv.com/mc/
Y,ADN brief literary conversation,https://posts.app.net/67229329
Y,Bobby's Lament by @mlv,https://github.com/mlv/stories/blob/master/BobbysLament.md
Y,Applying media theories to Social media - from 33mhz,http://start-thinking.com/sm-and-comm-theories
Y,Jekyll Liquid Data files,http://jekyllrb.com/docs/datafiles/
Y,My test blog,http://baz.bt3.com/
Y,My primary blog,http://blog.bt3.com/
